Scenario,Demand1,Demand2,Demand3,Gen1,Gen2,Gen3,Cost
0.0,119.9816047538945,108.02857225639664,109.2797576724562,77.14409843612435,183.00173781050904,77.1440984361139,8023.4043953602195
1.0,128.94633936788148,76.24074561769746,86.2397808134481,63.65496052914686,164.1169447407438,63.65496052913629,7154.649007782028
2.0,107.32334448672798,104.6470458309974,104.04460046972835,70.88676199633159,174.24146679480077,70.88676199632125,7616.09848591761
3.0,133.3229031118418,70.8233797718321,118.79639408647978,72.92431675594845,177.0940434582664,72.9243167559388,7747.909563307459
4.0,138.29770563201686,78.49356442713105,87.27299868828402,67.37184374926638,169.32058124890997,67.3718437492555,7390.573530643912
5.0,112.33618039413736,82.1696897183815,100.99025726528951,64.8518021699643,165.7925230378893,64.85180216995467,7230.329905161565
6.0,122.27780074568463,81.64916560792167,104.47411578889518,68.64737710075671,171.10632794099791,68.64737710074682,7472.142650981092
7.0,110.57975442608168,81.68578594140872,94.65447373174767,62.32941591156123,162.26118227612528,62.32941591155149,7071.148031054156
8.0,123.24279936868143,101.40703845572054,87.98695128633439,69.89317326788577,172.8504425749758,69.89317326787479,7552.109136392838
9.0,125.56937753654447,93.6965827544817,81.8580165087999,66.50705199997086,168.10987279989536,66.50705199995978,7335.447146334305
10.0,129.30179407605755,76.82096494749166,82.60206371941118,62.86024198324486,163.00433877648123,62.860241983234246,7104.546575256839
11.0,142.95542149013335,108.62528132298237,112.33589392465845,84.97546962878032,193.96565748022482,84.97546962876896,8543.67200882398
12.0,117.18455076693482,73.90688456025535,107.36932106048627,65.72375187874889,167.0132526301882,65.72375187873934,7285.638366423931
13.0,122.60609974958405,74.88152939379115,99.80707640445081,65.38079574938132,166.53311404907322,65.38079574937149,7263.867115925817
14.0,106.37554084460874,106.37281608315129,90.35119926400068,67.08810476230423,168.9233466671626,67.08810476229385,7372.470816693054
15.0,131.50089137415927,82.46844304357644,100.80272084711243,70.52119272497697,173.72966981490478,70.52119272496633,7592.533145915669
16.0,126.86841117373119,77.39417822102108,118.78338511058234,72.95469838394285,177.13657773745845,72.95469838393328,7749.880956730734
